"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"2012-01-09",6.6,9,400,7,60766.6666666667,0.5,0.007,24.4,532,13.0221089113192
"2012-03-13",5.5,7,49.5,7.1,12766.6666666667,0.5,0.007,25,189,50.67805873303
"2012-05-30",5.8,7,15.7,7.2,3066.66666666667,1,0.062,22.3,139,55.2887408672844
"2012-07-17",6.9,7,16.2,7.1,768100,1,0.165,18.3,134,42.5802845281406
"2012-09-05",4.8,9,8.95,7.1,43100,2,0.338,23.6,248,41.4933627678098
"2012-11-21",3.7,9,48.8,7,13766.6666666667,2,0.392,27.3,241,40.1684598897346
"2013-01-15",7.3,10,285,7,79100,0.6,0.233,23.1,366,18.0240224122108
"2013-03-12",6.4,12,723,6.8,21433.3333333333,0.4,0.254,25.1,869,37.6825317096885
"2013-05-14",5,6,9.95,7,15766.6666666667,2,0.186,22.8,237,46.4334674268661
"2013-07-16",5.4,9,19.3,7.9,10433.3333333333,2,0.06,19.5,211,47.9368296826014
"2013-09-10",3.6,9,6.43,7.2,539766.666666667,3,0.5,23.2,309,33.2226030132171
"2013-11-06",5.2,10,248,6.9,79100,1,0.4,21.5,331,17.9079532546356
"2014-01-14",3.4,7,53.1,7.1,11100,3,0.3,26.6,236,40.7277507050474
"2014-03-12",4.2,10,119,7.2,17933.3333333333,1,0.4,26.9,315,43.2329086505392
"2014-05-13",4.1,6,9.19,7.5,5033.33333333333,5,0.8,22.3,365,39.4359234237275
"2014-07-15",2.3,7,5.41,7.2,5033.33333333333,8,1,20.9,415,31.8306531387397
"2014-09-09",6,5,5.9,7.5,10100,6,0.6,26.9,307,39.7454588717074
"2014-11-11",2.9,13,19.4,7.4,5033.33333333333,8,0.5,26.6,359,37.1697888956097
"2015-01-13",3.9,5,54.5,7.2,9100,1,0.3,30.9,256,39.4223233791155
"2015-03-11",6,7,311,7.1,38433.3333333333,0.6,0.2,25.3,450,16.9363897183202
"2015-05-12",4.4,5,240,7,79100,2,0.2,20.5,332,15.8206815993459
"2015-07-15",3.1,5,6.47,7.2,8766.66666666667,3,0.5,21.6,232,33.8208601594132
"2015-09-22",7.1,4,18.6,7.7,539766.666666667,1,0.3,26.7,304,38.1936015576045
"2015-11-11",4.6,5,41.6,7,8766.66666666667,0.5,0.3,27,303,40.3316328885186
"2016-01-19",7.1,3,225,6.8,79100,0.5,0.4,24.7,320,19.8063517439356
"2016-03-16",6.9,3,256,7,79100,0.4,0.4,25,335,17.950409610733
"2016-05-11",5.2,3,11,6.9,23100,2,0.2,21.5,179,42.0177997894325
"2016-07-13",6,3,13,6.8,6000,1,0.2,19.5,135,47.5645455418058
"2016-09-26",5.2,3,6.6,7.1,6066.66666666667,2,0.5,22.7,296,43.7342218565097
"2016-11-23",5.2,2,35,7,25100,1,0.3,25.8,206,42.3644327033943
"2017-01-10",3.3,2,209,6.9,19100,1,0.3,27.1,303,19.5598970931775
"2017-03-21",6.5,4,100,7.1,50766.6666666667,0.5,0.8,24.3,272,37.8504563931083
"2017-05-10",6.3,3,24,7.2,768100,1,1,22.1,136,32.1926287816136
"2017-07-12",5.5,5,7.8,7.2,16433.3333333333,2,0.197,18.4,146,40.74708116359
"2017-09-20",4.8,7,8.2,7.3,7766.66666666667,4,0.6,24.5,234,43.3880231597739
"2017-11-07",4.8,9,80,7,16100,2,0.3,23.1,232,45.2683768633126
"2018-01-03",6.1,5,170,7.1,27766.6666666667,0.5,0.5,25.1,290,22.6176783281817
"2018-03-19",5,5,100,7,41000,1,0.3,27.6,232,39.5122615392029
"2018-05-07",4.7,4,11,7.3,8333.33333333333,3,0.6,23.6,188,38.6786290511325
"2018-07-11",4.4,5,6,6.9,11333.3333333333,4,1,17.9,278,31.4112597990264
"2018-09-04",3.1,7,5.8,7,539766.666666667,4,0.6,20.4,362,30.6916290676859
